['狗十三'],['曹保平'],"['张雪迎', '果靖霖', '智一桐', '周珍']",['剧情'],"['2018', '12', '07']",['4935万']
['影'],['张艺谋'],"['邓超', '孙俪', '郑恺', '王千源']","['剧情,动作,古装']","['2018', '09', '30']",['6.29亿']
['西虹市首富'],"['闫非', '彭大魔']","['沈腾', '宋芸桦', '张一鸣']",['喜剧'],"['2018', '07', '27']",['25.48亿']
['中国蓝盔'],['宁海强'],"['徐洪浩', '刘一龙', '彭士腾', '沈浩']","['剧情,动作,战争']","['2018', '11', '23']",['1788万']
['午夜整容室'],['曹志鹏'],"['赖晶晶', '王李丹妮', '陈垚', '潘彦妃']","['恐怖,惊悚']","['2018', '12', '14']",['273万']
['你好，之华'],['岩井俊二'],"['周迅', '秦昊', '杜江', '张子枫']","['剧情,爱情']","['2018', '11', '09']",['8018万']
['胖子行动队'],['包贝尔'],"['文章', '包贝尔', '克拉拉', '许君聪']","['喜剧,动作']","['2018', '09', '30']",['2.61亿']
['我不是药神'],['文牧野'],"['徐峥', '周一围', '王传君', '谭卓']","['剧情,喜剧']","['2018', '07', '05', '00', '00']",['31.00亿']
['名侦探柯南：零的执行人'],['立川让'],"['高山南', '山口胜平', '山崎和佳奈', '小山力也']","['动画,动作,悬疑']","['2018', '11', '09']",['1.27亿']
['悲伤逆流成河'],['落落'],"['赵英博', '任敏', '辛云来', '章若楠']","['剧情,爱情,家庭']","['2018', '09', '21']",['3.57亿']
['中国合伙人2'],['刘亚当'],"['赵立新', '凌潇肃', '王嘉', '董琦']",['剧情'],"['2018', '12', '18']",['914万']
['狂暴凶狮'],['迪克·麦斯'],"['朱利安.卢曼', '索菲.范.德温', '艾比·侯斯', 'Rienus Krul']","['惊悚,动作,剧情']",['2018'],[]
['李茶的姑妈'],['吴昱翰'],"['黄才伦', '艾伦', '宋阳', '卢靖姗']",['喜剧'],"['2018', '09', '30', '08', '00']",['6.04亿']
['生活万岁'],"['程工', '任长箴']","['李安甫', '胡兆翠', '康昕']",['纪录片'],"['2018', '11', '27']",['472万']
['复仇者联盟3：无限战争'],"['安东尼·罗素', '乔·罗素']","['小罗伯特·唐尼', '克里斯·海姆斯沃斯', '马克·鲁法洛']","['动作,冒险,科幻']","['2018', '05', '11']",['23.91亿']
['绿毛怪格林奇'],"['亚罗·切尼', '斯科特·摩西尔']","['本尼迪克特·康伯巴奇', '卡梅伦·丝蕾', '拉什达·琼斯']","['喜剧,动画,家庭']","['2018', '12', '14']",['2496万']
['神奇动物：格林德沃之罪'],['大卫·叶茨'],"['埃迪·雷德梅恩', '凯瑟琳·沃特森', '艾莉森·萨多尔', '约翰尼·德普']","['冒险,奇幻,家庭']","['2018', '11', '16']",['3.99亿']
['胡桃夹子和四个王国'],"['拉斯·霍尔斯道姆', '乔·庄斯顿']","['麦肯吉·弗依', '摩根·弗里曼', '凯拉·奈特莉']","['动作,冒险,奇幻']","['2018', '11', '02']",['1.13亿']
['碟中谍6：全面瓦解'],['克里斯托弗·麦奎里'],"['汤姆·克鲁斯', '亨利·卡维尔', '文·瑞姆斯', '西蒙·佩吉']","['动作,惊悚,冒险']","['2018', '08', '31']",['12.45亿']
['三体'],['张番番'],"['冯绍峰', '张静初', '吴刚', '唐嫣']",['科幻'],['2018'],[]
['老爸102岁'],['奥米史·舒克拉'],"['阿米特巴·巴强', '里希·卡普尔', '达尔曼德拉·吉尔', '吉米特·特里韦迪']","['喜剧,剧情,家庭']","['2018', '11', '30']",['3020万']
['蚁人2：黄蜂女现身'],['佩顿·里德'],"['保罗·路德', '伊万杰琳·莉莉', '迈克尔·佩纳', '沃尔顿·戈金斯']","['动作,冒险,科幻']","['2018', '08', '24']",['8.32亿']
['一出好戏'],['黄渤'],"['黄渤', '舒淇', '王宝强', '张艺兴']","['剧情,喜剧']","['2018', '08', '10']",['13.55亿']
['惊涛飓浪'],['巴塔萨·科马库'],"['谢琳·伍德蕾', '山姆·克拉弗林', '伊丽莎白·霍桑', '杰弗瑞·托马斯']","['爱情,灾难']","['2018', '12', '07']",['1098万']
['后来的我们'],['刘若英'],"['井柏然', '周冬雨', '田壮壮', '苏小明']","['剧情,爱情']","['2018', '04', '28']",['13.62亿']
['春天的马拉松'],['夏晓昀'],"['张铎', '郑昊', '杨立新', '徐百卉']",['剧情'],"['2018', '12', '14']",['439万']
['黑暗迷宫'],['温河'],"['聂远', '葛天', '杜奕衡', '初俊辰']","['悬疑,犯罪']","['2018', '10', '31', '18', '00']",['412万']
['邪不压正'],['姜文'],"['姜文', '彭于晏', '廖凡', '周韵']","['剧情,喜剧,动作']","['2018', '07', '13']",['5.84亿']
['铁血战士'],['沙恩·布莱克'],"['波伊德·霍布鲁克', '奥立薇娅·玛恩', '伊冯娜·斯特拉霍夫斯基', '雅各布·特瑞布雷']","['动作,冒险,科幻']","['2018', '10', '26', '08', '00']",['2.17亿']
['唐人街探案2'],['陈思诚'],"['王宝强', '刘昊然', '肖央', '刘承羽']","['喜剧,动作,悬疑']","['2018', '02', '16']",['33.98亿']
['大路朝天'],['苗月'],"['陈瑾', '李保田', '孙敏', '白微']",['剧情'],"['2018', '12', '22']",['37万']
['江湖儿女'],['贾樟柯'],"['赵涛', '廖凡', '徐峥', '梁嘉艳']","['爱情,犯罪']","['2018', '09', '21', '10', '00']",['6993万']
['爱情公寓'],['韦正'],"['陈赫', '袁弘', '娄艺潇', '邓家佳']","['喜剧,爱情']","['2018', '08', '10']",['5.55亿']
['熊出没之探险日记2'],['丁亮'],[],['动画'],"['2018', '10', '21']",[]
['恐龙王'],['施雅雅'],"['王衡', '吕佩玉', '孙晔', '穆雪婷']","['喜剧,动画,冒险']","['2018', '11', '10']",['2853万']
['照相师'],['张唯'],"['谢钢', '刘牧', '康磊', '涓子']",['剧情'],"['2018', '12', '12']",['146万']
['流浪猫鲍勃'],['罗杰·斯波蒂斯伍德'],"['猫鲍勃', '露塔·格德米纳斯', '卢克·崔德威', '琼安·弗洛加特']","['剧情,喜剧,传记']","['2018', '11', '02']",['5298万']
