actors,boxoffice,directors,time,title,type
"埃迪·雷德梅恩,凯瑟琳·沃特森,艾莉森·萨多尔,丹·福勒",5.91亿,大卫·叶茨,"2016,11,25",神奇动物在哪里,"冒险,奇幻,家庭"
"安德鲁·加菲尔德,雨果·维文,卢克·布雷西,泰莉莎·帕尔墨",4.26亿,梅尔·吉布森,"2016,12,08",血战钢锯岭,"剧情,战争,历史,传记"
"古天乐,张智霖,周渝民,蔡少芬",2.09亿,林德禄,"2016,09,14",反贪风暴2,"犯罪,动作"
"尼尔·塞西,郭子睿,比尔·默瑞,郭涛",9.77亿,乔恩·费儒,"2016,04,15",奇幻森林,"剧情,冒险,奇幻"
"崔维斯·费米尔,宝拉·巴顿,本·福斯特,多米尼克·库珀",14.69亿,邓肯·琼斯,"2016,06,08",魔兽,"动作,冒险,奇幻"
"郭富城,梁家辉,周润发",6.77亿,"梁乐民,陆剑青","2016,07,08",寒战2,"剧情,动作,犯罪"
"三瓶由布子,菊池心,竹内顺子,杉山纪彰",1.03亿,山下宏幸,"2016,02,18",火影忍者剧场版：博人传,"动画,动作,冒险"
"染谷将太,深津绘里,阿部隆史,桥本爱",4823万,山崎贵,"2016,09,02",寄生兽,"恐怖,惊悚,科幻"
"马特·达蒙,景甜,佩德罗·帕斯卡,刘德华",11.73亿,张艺谋,"2016,12,16",长城,"剧情,冒险,奇幻"
"张涵予,彭于晏,冯文娟,吴旭东",11.83亿,林超贤,"2016,09,30",湄公河行动,"剧情,动作,犯罪"
"邓超,白百何,杨洋,张天爱",8.13亿,张一白,"2016,09,29",从你的全世界路过,"喜剧,爱情"
"郎月婷,王紫逸,成泰燊,郭金",88万,杨子,"2016,08,26",喊·山,"剧情,爱情,犯罪"
"杰森·斯坦森,杰西卡·阿尔芭,汤米·李·琼斯,杨紫琼",3.38亿,丹尼斯·甘塞尔,"2016,10,21",机械师2：复活,"动作,犯罪"
李东赫,,李亚东,"2016,11,04",暴力甜心,"剧情,喜剧,爱情"
"本尼迪克特·康伯巴奇,珊·布鲁克,里奥·比尔",1万,"林赛·特纳,罗宾·洛","2016,01,30",哈姆雷特,剧情
"杰森·李,贾斯汀·朗,马修·格雷·古柏勒",6256万,"沃尔特·拜克,菲尔·罗德","2016,01,26",鼠来宝4：萌在囧途,"喜剧,动画,冒险"
"杰拉德·巴特勒,阿伦·伊克哈特,摩根·弗里曼,安吉拉·贝塞特",3.39亿,巴巴克·纳加非,"2016,04,08",伦敦陷落,"动作,惊悚,犯罪"
"董子健,颜卓灵,林柏宏",654万,"吴子云,刘又年","2016,07,28",六弄咖啡馆,"剧情,爱情"
"王诗龄,吴镇宇,杨千嬅",1520万,"王晶,张敏","2016,07,29",宝贝当家,"喜剧,动作,家庭"
"陈晓,秦岚,杜天皓,刘芮麟",1.28亿,张琦,"2016,04,01",睡在我上铺的兄弟,"剧情,爱情"
"欧豪,张译,余男,郭晓东",1588万,杨树鹏,"2016,12,16",少年,"悬疑,犯罪"
"郭麒麟,路知行,郭德纲,于谦",3954万,艾什·布兰农,"2016,07,08",摇滚藏獒,"动画,音乐,冒险"
"岳松,释彦能,邹兆龙,陈惠敏",551万,岳松,"2016,07,15",超级保镖,"剧情,动作"
"甄子丹,杨紫琼,岑勇康,李截",9374万,袁和平,"2016,02,19",卧虎藏龙：青冥宝剑,"剧情,动作,武侠"
"杰克·吉伦哈尔,瑞秋·麦克亚当斯,福里斯特·惠特克,娜奥米·哈里斯",786万,安东尼·福奎阿,"2016,09,02",铁拳,"剧情,动作,运动"
,,"杨小璇,白利卫,夏添","2016,06,20",拯救汪星人大作战,喜剧
"梅根·福克斯,威尔·阿奈特,劳拉·琳妮,斯蒂芬·阿梅尔",3.93亿,戴夫·格林,"2016,07,02",忍者神龟2：破影而出,"喜剧,动作,科幻,冒险"
"王宁,修睿,王自健,王鸥",1101万,江涛,"2016,07,08",发条城市,"喜剧,冒险,犯罪"
"赵丽颖,乔任梁,吴映洁",4398万,"马伟豪,刘海","2016,09,02",我们的十年,"剧情,爱情"
"马特维·雷科夫,玛利亚·波兹哈娃,列娃·安德烈瓦伊达,阿莲娜·契诃娃",6005万,因达尔·詹杜巴耶夫,"2016,08,19",他是龙,"爱情,冒险,奇幻"
"黄晓明,蒲巴甲,徐峥,罗晋",3298万,霍建起,"2016,04,29",大唐玄奘,"剧情,历史"
"赵薇,古天乐,钟汉良,林雪",1.00亿,杜琪峰,"2016,06,24",三人行,"动作,悬疑,犯罪"
"杰森·苏戴奇斯,乔什·加德,丹尼·麦克布莱德",5.13亿,"费格尔·雷利,克雷·卡提斯","2016,05,20",愤怒的小鸟,"喜剧,动画,动作"
"钟汉良,李政宰,郎月婷,李彩英",7846万,李骏,"2016,07,15",惊天大逆转,"动作,悬疑,犯罪"
"王大治,郭金杰,葛晓凤,罗京民",263万,赵小溪,"2016,03,11",我不是王毛,"喜剧,剧情,黑色电影"
"布拉德·皮特,玛丽昂·歌迪亚,马修·古迪,杰瑞德·哈里斯",3025万,罗伯特·泽米吉斯,"2016,11,30",间谍同盟,"爱情,动作,战争"
"刘青云,古天乐,彭于晏,袁泉",1.67亿,陈木胜,"2016,08,12",危城,"剧情,动作,犯罪"
"大卫·罗尔,布莱丹·格里森,丽莎·汉尼根,菲奥纽拉·弗拉纳根",1549万,汤姆·摩尔,"2016,08,12",海洋之歌,"动画,冒险,奇幻"
,,崔光辉,"2016,03,22",死侍迷途,"喜剧,悬疑,惊悚,恐怖"
