actors,boxoffice,directors,time,title,type
"宫哲,张楠,健子,贲蓝琪",337万,李耀东,"2018,10,12",午夜幽灵,"恐怖,惊悚,悬疑"
"Otto Waalkes,Mirco Nontschew,Boris Aljinovic",2549万,"Boris Aljinovic,哈莱德·西博门","2018,06,16",第七个小矮人,"喜剧,动画,冒险"
"王晖,唐国强,杜娟,袁志顺",,周琦,"2018,11,30",国礼,剧情
,4.80亿,卫铁,"2018,03,02",厉害了，我的国,纪录片
"白客,梁达伟,唐雅菁",283万,"李豪凌,易小星","2018,08,04",肆式青春,动画
"萨尔曼·汗,卡琳娜·卡普,哈莎莉·马洛特拉,纳瓦祖丁·席迪圭",2.86亿,卡比尔·汗,"2018,03,02",小萝莉的猴神大叔,"剧情,喜剧"
"迪伦·奥布莱恩,卡雅·斯考达里奥,托马斯·布罗迪-桑斯特,李起弘",3.15亿,韦斯·鲍尔,"2018,01,26",移动迷宫3：死亡解药,"动作,惊悚,科幻"
"雅各布·特瑞布雷,朱莉娅·罗伯茨,欧文·威尔逊,伊扎贝拉·维多维奇",1.92亿,斯蒂芬·卓博斯基,"2018,01,19",奇迹男孩,"剧情,家庭"
"徐峥,王丽坤,王砚辉,段博文",3.59亿,任鹏远,"2018,04,28",幕后玩家,"剧情,悬疑,犯罪"
"阿曼达·塞弗里德,莉莉·詹姆斯,梅丽尔·斯特里普,皮尔斯·布鲁斯南",415万,欧·帕克,"2018,08,03",妈妈咪呀2,"喜剧,歌舞"
"陈子由,刘林城,康宁",,"项秋良,项河生","2018,11,08",四大名捕之入梦妖灵,"动作,悬疑,奇幻,武侠,古装"
"水田山葵,大原惠美,嘉数由美,木村昴",2.09亿,今井一晓,"2018,06,01",哆啦A梦：大雄的金银岛,"动画,冒险"
"任嘉伦,秦俊杰,姚星彤,张博宇",,刘国辉,"2018,12",盗墓笔记之怒海潜沙,"剧情,冒险"
"萨姆·沃辛顿,泰勒·席林,汤姆·威尔金森,娜塔莉·伊曼纽尔",1428万,伦纳特·拉夫,"2018,10,12",超能泰坦,科幻
"艾米莉·布朗特,约翰·卡拉辛斯基,诺亚·尤佩,米利森特·西蒙兹",2.21亿,约翰·卡拉辛斯基,"2018,05,18",寂静之地,"剧情,恐怖,惊悚"
"滨边美波,北村匠海,北川景子,小栗旬",447万,月川翔,"2018,09,14",念念手纪,"剧情,爱情"
"杰森·格里菲斯,劳里·海梅斯,迪·布拉雷·贝克尔,瓦内莎·约翰逊",7422万,阿列克谢·特斯蒂斯林,"2018,04,05",冰雪女王3：火与冰,"喜剧,动画,冒险"
"长谷川博己,竹野内丰,石原里美",,"庵野秀明,樋口真嗣",2018,新哥斯拉,"剧情,科幻,灾难"
