actors,boxoffice,directors,time,title,type
"阿诺德·施瓦辛格,杰森·克拉克,艾米莉亚·克拉克,杰·科特尼",7.25亿,阿兰·泰勒,"2015,08,23",终结者：创世纪,"动作,冒险,科幻"
"水田山葵,刘纯燕,妻夫木聪",5.30亿,"山崎贵,八木龙一","2015,05,28",哆啦A梦：伴我同行,"剧情,喜剧,动画"
"连姆·尼森,福里斯特·惠特克,玛姬·格蕾斯,多格雷·斯科特",2.03亿,奥利维尔·米加顿,"2015,03,20",飓风营救3,"动作,惊悚,犯罪"
"邓超,段奕宏,郭涛,王珞丹",3.05亿,曹保平,"2015,08,27",烈日灼心,"剧情,犯罪,悬疑"
"皮埃尔·柯芬,桑德拉·布洛克,乔恩·哈姆",4.36亿,"凯尔·巴尔达,皮埃尔·柯芬","2015,09,13",小黄人大眼萌,"喜剧,动画,家庭"
"赵又廷,姚晨,凤小岳,李晨",6.83亿,陆川,"2015,09,30",九层妖塔,"剧情,动作,冒险"
"徐峥,赵薇,包贝尔",16.14亿,"徐峥,阮惟新","2015,09,25",港囧,"喜剧,爱情,动作"
"马丁·弗瑞曼,理查德·阿米蒂奇,伊万杰琳·莉莉,伊恩·麦克莱恩",7.65亿,彼得·杰克逊,"2015,01,23",霍比特人3：五军之战,"动作,冒险,奇幻"
"沈腾,马丽,杜晓宇,林雪",8256万,张承,"2015,12,31",一念天堂,"剧情,喜剧"
"陈都灵,欧豪,杨洋,马思纯",4.85亿,苏有朋,"2015,04,24",左耳,爱情
"丹尼尔·克雷格,克里斯托弗·沃尔兹,蕾雅·赛杜,本·威士肖",5.41亿,萨姆·门德斯,"2015,11,13",007：幽灵党,"动作,惊悚,冒险"
,,段冉,"2015,06,30",疯狂试爱,"剧情,喜剧"
,,李冠霖,"2015,06,18",马跃檀溪,"剧情,爱情,纪录片"
"本尼迪克特·康伯巴奇,凯拉·奈特莉,马修·古迪,罗里·金奈尔",5256万,莫滕·泰杜姆,"2015,07,21",模仿游戏,"剧情,战争,传记"
"吴镇宇,任达华,古巨基,郑浩南",2092万,刘浩良,"2015,04,03",冲锋车,"动作,犯罪"
"殷果儿,郭云齐,宋嘉豪",853万,"陆诗雨,陆诗雷","2015,10,30",半夜叫你别回头,"恐怖,惊悚"
"艾德·斯克林,雷·史蒂文森,洛安·沙巴诺尔,加布里埃拉·赖特",1.28亿,卡米尔·狄拉玛,"2015,11,20",玩命速递：重启之战,"动作,惊悚,犯罪"
"詹妮弗·劳伦斯,乔什·哈切森,利亚姆·海姆斯沃斯,伍迪·哈里森",2.24亿,弗朗西斯·劳伦斯,"2015,02,08",饥饿游戏3：嘲笑鸟（上）,"动作,冒险,科幻"
"舒淇,彭于晏,潘虹,金士杰",6148万,落落,"2015,11,06",剩者为王,"剧情,爱情"
"祖晴,张琳,邓玉婷,梁颖",6750万,黄伟明,"2015,01,31",喜羊羊与灰太狼之羊年喜羊羊,"喜剧,动画"
"陆双,祖晴,陈志荣",4549万,"陆锦明,陆锦辉","2015,07,10",猪猪侠之终极决战,"喜剧,动画,冒险"
