['熊出没之雪岭熊风'],"['丁亮', '刘富源']","['张伟', '谭笑', '万丹青']","['动画,喜剧,冒险']","['2015', '01', '30']",['2.94亿']
['重返20岁'],['陈正道'],"['杨子姗', '陈柏霖', '鹿晗', '归亚蕾']","['喜剧,爱情,奇幻']","['2015', '01', '08']",['3.65亿']
['前任2：备胎反击战'],['田羽生'],"['郑恺', '郭采洁', '王传君', '张艺兴']","['喜剧,爱情']","['2015', '11', '06']",['2.52亿']
['头脑特工队'],"['彼特·道格特', '罗纳尔多·德尔·卡门']","['艾米·波勒', '菲利丝·史密斯', '敏迪·卡灵']","['动画,喜剧,家庭']","['2015', '10', '06']",['9723万']
['哆啦A梦：伴我同行'],"['山崎贵', '八木龙一']","['水田山葵', '刘纯燕', '妻夫木聪']","['剧情,喜剧,动画']","['2015', '05', '28']",['5.30亿']
['解救吾先生'],['丁晟'],"['刘德华', '刘烨', '吴若甫', '王千源']","['剧情,动作,犯罪']","['2015', '09', '30']",['1.96亿']
['澳门风云2'],"['王晶', '张敏']","['周润发', '张家辉', '刘嘉玲']","['喜剧,动作']","['2015', '02', '19']",['9.68亿']
['飓风营救3'],['奥利维尔·米加顿'],"['连姆·尼森', '福里斯特·惠特克', '玛姬·格蕾斯', '多格雷·斯科特']","['动作,惊悚,犯罪']","['2015', '03', '20']",['2.03亿']
['左耳'],['苏有朋'],"['陈都灵', '欧豪', '杨洋', '马思纯']",['爱情'],"['2015', '04', '24']",['4.85亿']
['终结者：创世纪'],['阿兰·泰勒'],"['阿诺德·施瓦辛格', '杰森·克拉克', '艾米莉亚·克拉克', '杰·科特尼']","['动作,冒险,科幻']","['2015', '08', '23']",['7.25亿']
['万万没想到'],['易小星'],"['杨子姗', '白客', '陈柏霖', '马天宇']","['喜剧,奇幻,古装']","['2015', '12', '18']",['3.22亿']
['杀破狼2'],['郑保瑞'],"['吴京', '托尼·贾', '张晋', '古天乐']","['剧情,动作,犯罪']","['2015', '06', '18']",['5.61亿']
['港囧'],"['徐峥', '阮惟新']","['徐峥', '赵薇', '包贝尔']","['喜剧,爱情,动作']","['2015', '09', '25']",['16.14亿']
['灰姑娘'],['肯尼思·布拉纳'],"['凯特·布兰切特', '莉莉·詹姆斯', '理查德·麦登', '斯特兰·斯卡斯加德']","['爱情,奇幻,冒险']","['2015', '03', '13']",['4.43亿']
['我的个神啊'],['拉吉库马尔·希拉尼'],"['Aamir Hussain Khan', '安努舒卡·莎玛', '苏尚特·辛格·拉吉普特', '桑杰·达特']","['喜剧,爱情,奇幻']","['2015', '05', '22']",['1.18亿']
['雪怪大冒险'],"['格伦·费卡拉', '杰森·雷西格']","['赞达亚·科尔曼', '查宁·塔图姆', '吉娜·罗德里格兹']","['喜剧,动画,奇幻']","['2018', '10', '19']",['7499万']
['为你写诗'],['吴克群'],"['吴克群', '周依然', '周键铭', '苏士为']","['喜剧,爱情,奇幻']","['2018', '10', '26']",['1276万']
['碟中谍6：全面瓦解'],['克里斯托弗·麦奎里'],"['汤姆·克鲁斯', '亨利·卡维尔', '文·瑞姆斯', '西蒙·佩吉']","['动作,惊悚,冒险']","['2018', '08', '31']",['12.45亿']
['胖子行动队'],['包贝尔'],"['文章', '包贝尔', '克拉拉', '许君聪']","['喜剧,动作']","['2018', '09', '30']",['2.61亿']
['张艺谋和他的“影”'],['汪鹏'],"['张艺谋', '赵小丁', '陈敏正', '马光荣']",['纪录片'],"['2018', '10', '12']",['82万']
['流浪猫鲍勃'],['罗杰·斯波蒂斯伍德'],"['猫鲍勃', '露塔·格德米纳斯', '卢克·崔德威', '琼安·弗洛加特']","['剧情,喜剧,传记']","['2018', '11', '02']",['5278万']
['憨豆特工3'],['大卫·科尔'],"['罗温·艾金森', '本·米勒', '欧嘉·柯瑞兰寇', '杰克·莱西']","['喜剧,动作,冒险']","['2018', '11', '23']",['959万']
['三国杀·幻'],['吕柯憬'],"['郑伊健', '贾青', '于荣光', '谢天华']","['爱情,动作,悬疑']","['2018', '11', '09']",['104万']
['嗝嗝老师'],['西达尔特·马尔霍特拉'],"['拉妮·玛克赫吉', '内拉吉·卡比', '苏普丽雅·皮尔加卡尔', '罗特·萨拉夫']","['剧情,喜剧']","['2018', '10', '12']",['1.49亿']
['恐龙王'],['施雅雅'],"['王衡', '吕佩玉', '孙晔', '穆雪婷']","['喜剧,动画,冒险']","['2018', '11', '10']",['2253万']
['西虹市首富'],"['闫非', '彭大魔']","['沈腾', '宋芸桦', '张一鸣']",['喜剧'],"['2018', '07', '27']",['25.48亿']
['无敌破坏王2：大闹互联网'],"['瑞奇·摩尔', '菲尔·约翰斯顿']","['约翰·C·赖利', '萨拉·西尔弗曼', '克里斯汀·贝尔']","['喜剧,动画,冒险']","['2018', '11', '23']",['1622万']
['复仇者联盟3：无限战争'],"['安东尼·罗素', '乔·罗素']","['小罗伯特·唐尼', '克里斯·海姆斯沃斯', '马克·鲁法洛']","['动作,冒险,科幻']","['2018', '05', '11']",['23.90亿']
['钟馗伏魔：雪妖魔灵'],"['鲍德熹', '赵天宇']","['周强', '陈坤', '李冰冰']","['奇幻,爱情,动作']","['2015', '02', '19']",['4.04亿']
['既然青春留不住'],['田蒙'],"['张翰', '陈乔恩', '施予斐', '王啸坤']","['喜剧,爱情']","['2015', '10', '23']",['5020万']
['李茶的姑妈'],['吴昱翰'],"['黄才伦', '艾伦', '宋阳', '卢靖姗']",['喜剧'],"['2018', '09', '30', '08', '00']",['6.04亿']
['陪安东尼度过漫长岁月'],['秦小珍'],"['刘畅', '白百何', '唐艺昕', '白举纲']","['剧情,爱情']","['2015', '11', '13']",['6258万']
['狼图腾'],['让-雅克·阿诺'],"['草原狼', '冯绍峰', '窦骁', '昂和妮玛']","['剧情,冒险']","['2015', '02', '19']",['6.95亿']
['猪猪侠之终极决战'],"['陆锦明', '陆锦辉']","['陆双', '祖晴', '陈志荣']","['喜剧,动画,冒险']","['2015', '07', '10']",['4549万']
['冰雪女王'],"['马克西姆·斯韦什尼科夫', '弗拉德连·芭尔贝']","['刘纯燕', '霍尊', '金炜']","['动画,奇幻']","['2015', '08', '03']",['408万']
['我是路人甲'],['尔冬升'],"['万国鹏', '王婷', '沈凯', '徐小琴']","['剧情,喜剧']","['2015', '07', '02']",['6491万']
['最美的时候遇见你'],['吴娜'],"['谭松韵', '罗云熙', '吴娜']","['喜剧,爱情']","['2015', '12', '11']",['156万']
['恐怖游泳馆'],['袁杰'],"['姚雨鑫', '张蓝艺', '丁汇宇', '杜菁']","['恐怖,惊悚']","['2015', '07', '31']",['424万']
['何以笙箫默'],"['杨文军', '黄斌']","['黄晓明', '杨幂', '佟大为']",['爱情'],"['2015', '04', '30']",['3.54亿']
['奔跑吧！兄弟'],"['胡笳', '岑俊义']","['杨颖', '王宝强', '李晨']","['喜剧,动作,冒险']","['2015', '01', '30']",['4.33亿']
['绝命海拔'],['巴塔萨·科马库'],"['杰森·克拉克', '乔什·布洛林', '约翰·浩克斯', '罗宾·怀特']","['剧情,冒险,传记']","['2015', '11', '03']",['1.02亿']
['甜蜜蜜'],"['陈可辛', '赵良骏']","['黎明', '张曼玉', '曾志伟']","['剧情,爱情']","['2015', '02', '13']",['1233万']
['道士下山'],['陈凯歌'],"['王宝强', '郭富城', '张震', '林志玲']","['喜剧,冒险,奇幻']","['2015', '07', '03']",['4.01亿']
['天将雄师'],"['李仁港', '成龙']","['成龙', '约翰·库萨克', '艾德里安·布洛迪']","['动作,战争,古装']","['2015', '02', '19']",['7.38亿']
