actors,boxoffice,directors,time,title,type
"汤姆·克鲁斯,索菲亚·波多拉,罗素·克洛,安娜贝拉·弗朗西斯·沃丽丝",6.26亿,艾里克斯·库兹曼,"2017,06,09",新木乃伊,"动作,冒险,奇幻"
"张艾嘉,田壮壮,郎月婷,宋宁峰",1827万,张艾嘉,"2017,11,03",相爱相亲,"剧情,爱情,家庭"
"成龙,皮尔斯·布鲁斯南,刘涛,梁佩诗",5.40亿,马丁·坎贝尔,"2017,09,30",英伦对决,"剧情,动作,犯罪"
"成龙,李治廷,张艺兴,索努·苏德",17.49亿,唐季礼,"2017,01,28",功夫瑜伽,"喜剧,动作,冒险"
"杨培,尼玛扎堆,扎西达娃,色巴江措",1.00亿,张杨,"2017,06,20",冈仁波齐,剧情
"蔡卓妍,周柏豪,钟欣潼,卫诗雅",7545万,邱礼涛,"2017,06,23",原谅他77次,爱情
"刘德华,舒淇,张静初,杨祐宁",2.37亿,冯德伦,"2017,08,11",侠盗联盟,"动作,冒险,犯罪"
"黄渤,徐静蕾,段奕宏,杨子姗",2.93亿,陈正道,"2017,04,28",记忆大师,"剧情,悬疑,犯罪"
"姜文轩,聂晶磊,刘力源,王泽奇",,尚永峰,"2017,04,26",爱上吸血鬼,爱情
,,"乔诗语,刘校妤,杨天翔","2017,07,28",狐妖小红娘剧场版：千颜,"剧情,爱情,奇幻"
"林德信,雷琛瑜,张继聪,吴浣仪",,梁国斌,"2017,03,30",死开啲啦,"惊悚,剧情"
"夏一可,陶典,孙晔,董汪汪",,董汪汪,"2017,04,28",幻镜诺德琳,"剧情,动画,奇幻,冒险"
"郑拓疆,徐冰,齐超",,麦田,"2017,04,30",我在清朝当密探,"喜剧,普通话,网络大电影,独播"
,,张智焜,"2017,07,22",上师之路,"纪录片,传记"
"刘红韵,申克,李思娴,周岩",176万,傅燕,"2015,05,30",超能兔战队,"喜剧,动画,科幻"
"郭天杰,泽仁拉姆,苏静",,郭坚,"2017,05,10",午夜办公室,"喜剧,惊悚,恐怖"
,,,"2017,10,06",钢铁麦克,
"李果,闫鹿杨,朱洪振,谢钟灵",91万,戴维,"2017,07,21",谜域之噬魂岭,"惊悚,悬疑,科幻"
,,,"2017,05,24",我的吸血鬼学姐,
"郑晓宁,安柏伊",57万,西尔扎提·亚合甫,"2017,04,20",塔克拉玛干的鼓声,剧情
"郑拓疆,老豹,桑娜,赵滨",,麦田,"2017,06,23",八仙归位,古装
,,朴树,"2017,04,14",去见恒河,"纪录片,短片"
"钟熠璠,陈相丞,庄则熙",3万,"原雅轩,王长虹","2017,10,27",红剪花,剧情
,,,"2017,06,19",YOU,
"郝平,张潮,李思睿,刘冠麟",,王野,"2017,06,22",红线2017,"剧情,悬疑,犯罪"
"夏望,崔菁格,李子雄",13万,"马爱民,林千译","2017,02,12",一树一树紫花开,剧情
"杜鹃,张若昀",,夏永康,"2017,06,20",一刻邂逅,"爱情,短片"
,,,"2017,03,18",荒野游侠记,"纪录片,冒险,运动"
,,,2017,济公伏魔,剧情
,,"胡凯莉,王磊,王潇","2017,07,04",国境线,剧情
"李胜素,于魁智,袁慧琴,杨赤",48万,夏钢,"2017,04,21",穆桂英挂帅,戏曲
"蒋欣悦,郝平,郝洋,周雨铭",,徐炜翔,"2017,12",战斧行动,"剧情,犯罪"
"朱元冰,杨霖,叶斯琦,张芷然",,杨晓波,"2017,02,10",超级小郎中之降龙戒,"喜剧,古装"
,,"梁家仁,黄志玮","2017,03,02",展昭夜遇女司机,"喜剧,悬疑,奇幻"
,,"丛林,王璐瑶,杨少华,谢林彤","2017,11,28",长官传奇,"剧情,战争,历史"
,,,"2017,04,23",绝境求生,纪录片
,,"姜寒,肖旭,衣云鹤,李晓强,王子睿","2017,02,10",醒醒吧之道德骑士,喜剧
,,陈安娜,2017,玩命爱一个姑娘,"喜剧,爱情"
"早见沙织,入野自由,松冈茉优,悠木碧",4454万,山田尚子,"2017,09,08",声之形,"剧情,爱情,动画"
"小连杀,图特哈蒙,金士杰,幽舞越山",8760万,不思凡,"2017,07,13",大护法,"动画,冒险,奇幻"
"吴亦凡,林更新,姚晨",16.52亿,"徐克,周星驰","2017,01,28",西游伏妖篇,"喜剧,动作,奇幻"
"李晨,范冰冰,王千源,李佳航",3.19亿,李晨,"2017,09,29",空天猎,"动作,战争"
"戴恩·德哈恩,卡拉·迪瓦伊,克里夫·欧文,罗比恩·蕾哈娜·芬缇",4.10亿,吕克·贝松,"2017,08,25",星际特工：千星之城,"动作,冒险,科幻"
"金城武,周冬雨,孙艺洲,奚梦瑶",2.11亿,许宏宇,"2017,04,27",喜欢·你,"喜剧,爱情"
"刘亦菲,杨洋,罗晋",5.35亿,"赵小丁,安东尼·拉默里纳拉","2017,08,03",三生三世十里桃花,"爱情,奇幻,古装"
"冯绍峰,刘亦菲,李光洁,郭京飞",2.92亿,肖洋,"2017,12,29",二代妖精之今生有幸,"喜剧,爱情,奇幻"
"瑞恩·高斯林,哈里森·福特,安娜·德·阿玛斯,杰瑞德·莱托",7696万,丹尼斯·维伦纽瓦,"2017,10,27",银翼杀手2049,"剧情,科幻,惊悚"
"张智霖,梅婷,钟欣潼,耿乐",2.19亿,钱人豪,"2017,07,06",京城81号2,"剧情,惊悚,悬疑"
"周迅,彭于晏,霍建华,郭涛",6342万,许鞍华,"2017,07,01",明月几时有,"剧情,战争,历史"
程东,,杨志坚,"2017,10,31",山海经破蛊师：食梦貘,"剧情,动作,奇幻"
"成龙,罗志祥,欧阳娜娜,夏侯云姗",3.05亿,张立嘉,"2017,12,22",机器之血,"喜剧,动作,科幻"
"曼迪·帕廷金,黛米·洛瓦托,雷恩·威尔森,乔·曼根尼罗",1.74亿,凯利·阿斯博瑞,"2017,04,21",蓝精灵：寻找神秘村,"动画,冒险,家庭"
"李易峰,廖凡,万茜,李纯",3.04亿,谢东燊,"2017,08,11",心理罪,"动作,悬疑,犯罪"
"吴君如,沈腾,岳云鹏,张译",3.63亿,吴君如,"2017,12,29",妖铃铃,"喜剧,恐怖"
"王霙,保剑锋,董勇,张一山",7386万,陈力,"2017,06,30",血战湘江,"剧情,战争,历史"
"松冈祯丞,户松遥,伊藤加奈惠,竹达彩奈",5392万,伊藤智彦,"2017,09,15",刀剑神域：序列之争,"动画,动作,冒险"
"肯尼思·布拉纳,刘风,约翰尼·德普,王千源",2.30亿,肯尼思·布拉纳,"2017,11,10",东方快车谋杀案,"剧情,悬疑,犯罪"
"李微漪,亦风",3299万,亦风,"2017,06,16",重返·狼群,纪录片
"杰克·吉伦哈尔,丽贝卡·弗格森,瑞安·雷诺兹,真田广之",1.36亿,丹尼尔·伊斯皮诺萨,"2017,05,19",异星觉醒,"恐怖,惊悚,科幻"
"杨千嬅,余文乐,蒋梦婕,陈逸宁",1.76亿,彭浩翔,"2017,04,28",春娇救志明,"剧情,喜剧,爱情"
"加里·奥德曼,克里斯汀·斯科特·托马斯,莉莉·詹姆斯,本·门德尔森",3732万,乔·赖特,"2017,12,01",至暗时刻,"剧情,历史,传记"
"斯嘉丽·约翰逊,皮鲁·埃斯贝克,迈克尔·皮特,北野武",2.02亿,鲁伯特·桑德斯,"2017,04,07",攻壳机动队,"动作,科幻,犯罪"
"杨幂,霍建华,金士杰,刘畅",2.01亿,尹鸿承,"2017,06,29",逆时营救,"动作,科幻"
"迈克尔·法斯宾德,玛丽昂·歌迪亚,迈克尔·肯尼斯·威廉姆斯,杰瑞米·艾恩斯",1.61亿,贾斯汀·库泽尔,"2017,02,24",刺客信条,"动作,冒险,奇幻"
"郭富城,王千源,刘涛,余皑磊",6465万,连奕琦,"2017,08,17",破·局,"动作,犯罪"
"本·威士肖,杜江,休·格兰特,莎莉·霍金斯",2.06亿,保罗·金,"2017,12,08",帕丁顿熊2,"喜剧,动画,冒险"
"王迅,曾志伟,梁超,潘斌龙",5447万,王丹,"2017,12,01",这就是命,"喜剧,犯罪"
"迪丽热巴,张云龙,高伟光",1.24亿,"李海蜀,黄彦威","2017,04,20",傲娇与偏见,"喜剧,爱情"
"欧文·威尔逊,黄磊,艾米·汉莫,张艺兴",1.37亿,布莱恩·菲,"2017,08,25",赛车总动员3：极速挑战,"喜剧,动画,冒险"
"胡军,余男,凤小岳,秦昊",1361万,胡雪桦,"2017,02,17",上海王,剧情
"易烊千玺,陈志荣,彭雨菲",4591万,"陆锦明,钟裕","2017,01,07",猪猪侠之英雄猪少年,"喜剧,动画,奇幻"
"马修·麦康纳,大鹏,瑞茜·威瑟斯彭",2.16亿,"加斯·詹宁斯,克里斯托夫·卢尔德莱","2017,02,17",欢乐好声音,"喜剧,动画,音乐"
"张子枫,张逸杰,成梓宁,李砚",4072万,杨永春,"2017,06,09",李雷和韩梅梅——昨日重现,"剧情,喜剧,爱情"
"李易峰,雎晓雯",,曾国祥,"2017,11,21",独角戏,短片
"刘德华,姜武,宋佳,姜皓文",4.00亿,邱礼涛,"2017,04,28",拆弹·专家,"动作,悬疑,犯罪"
"霍卫民,罗芸,孙黎,邵胜杰",1078万,忻钰坤,"2015,10,16",心迷宫,"剧情,悬疑,犯罪"
"郭德纲,岳云鹏,张小斐",6685万,"黎继强,张子栋","2017,03,24",欢乐喜剧人,喜剧
"道格拉斯·布斯,赵天宇,罗伯特·古拉奇克",6873万,"多洛塔·科别拉,休·韦尔什曼","2017,12,08",至爱梵高·星空之谜,"剧情,动画,传记"
"瑞安·雷诺兹,塞缪尔·杰克逊,萨尔玛·海耶克",1.40亿,"帕特里克·休斯,杰夫·瓦德洛","2017,09,22",王牌保镖,"喜剧,动作,犯罪"
"水田山葵,山新,大原惠美,黎筱濛",1.49亿,高桥敦史,"2017,05,30",哆啦A梦：大雄的南极冰冰凉大冒险,"动画,冒险"
"毛银梅,何玉珍,李凤云,张先兔",1.71亿,郭柯,"2017,08,14",二十二,纪录片
"张晋,余文乐,文咏珊,吴樾",6781万,李子俊,"2017,11,10",狂兽,"剧情,动作,犯罪"
"陈学冬,张孝全,桂纶镁,蒋梦婕",5585万,彭顺,"2017,12,08",巨额来电,"剧情,犯罪"
"安塞尔·艾尔高特,莉莉·詹姆斯,凯文·史派西,杰米·福克斯",1.09亿,埃德加·赖特,"2017,08,25",极盗车神,"爱情,动作,犯罪"
"王宝强,白客,岳云鹏,柳岩",7.56亿,王宝强,"2017,01,28",大闹天竺,"喜剧,动作,冒险"
"文淇,周美君,史可,耿乐",2223万,文晏,"2017,11,24",嘉年华,"剧情,悬疑"
"赵文卓,洪金宝,万茜,小出惠介",6512万,陈嘉上,"2017,05,27",荡寇风云,"动作,战争,历史"
"吴军,王莎莎,杨心仪,杨宸鉴",28万,钟海,"2017,09,09",旋风女队,"家庭,运动"
"塞巴斯蒂安·斯萨克,艾琳娜·拉尼娜,安东·庞布施尼,瓦谢斯拉夫·拉贝戈耶夫",2023万,萨里·奥德赛耶,"2017,05,19",守护者：世纪战元,"动作,冒险,科幻"
"章子怡,李宇春,勒布朗·詹姆斯,法瑞尔·威廉姆斯",,大卫·希尔,"2017,11,10",2017天猫双十一狂欢夜,歌舞
"郭德纲,于谦,岳云鹏,郭麒麟",1791万,张鹤栾,"2017,12,01",相声大电影之我要幸福,"剧情,喜剧"
"艾丽·范宁,佟心竹,卡莉·蕾·杰普森",4020万,"埃里克·韦林,艾瑞克·莎莫","2017,02,01",了不起的菲丽西,"喜剧,动画,冒险"
"威尔·阿奈特,扎克·加利凡纳基斯,迈克尔·塞拉,罗莎里奥·道森",4199万,克里斯·麦凯,"2017,03,03",乐高蝙蝠侠大电影,"喜剧,动画,动作"
"大鹏,范伟,张天爱,乔杉",1.25亿,袁卫东,"2017,07,21",父子雄兵,"剧情,喜剧"
"黄轩,段奕宏,祖峰",1.56亿,"麦兆辉,潘耀明","2017,03,31",非凡任务,"剧情,动作,犯罪"
"卡西·阿弗莱克,卢卡斯·赫奇斯,米歇尔·威廉姆斯,凯尔·钱德勒",818万,肯尼斯·罗纳根,"2017,08,25",海边的曼彻斯特,"剧情,家庭"
"克里斯托弗·L·帕森,孟令军,帕皮·福克纳",5622万,"本·斯塔森,杰里米·德格鲁森","2017,10,14",我的爸爸是森林之王,"喜剧,动画"
"王力宏,撒贝宁,中曾根梨乃",240万,"王力宏,Bertha Bay-Sa Pan","2017,10,20",火力全开,"音乐,纪录片"
,,刘畅,2017,20岁,喜剧
"高晓攀,尤宪超,于莎莎",1210万,"高晓攀,孙集斌","2017,11,10",兄弟，别闹！,"剧情,喜剧"
"古天乐,马丽,刘楚恬,黄星羱",4476万,陈木胜,"2017,07,14",喵星人,"喜剧,家庭,奇幻"
"李正翔,洪海天,陶典",5064万,"李炼,狄菲菲","2017,10,01",昆塔：反转星球,"动画,科幻"
"段奕宏,余男,王景春,成泰燊",5026万,常征,"2017,11,24",引爆者,"动作,犯罪"
,,,"2017,08,14",新成龙历险记,"动画,家庭,冒险"
"陈飞宇,欧阳娜娜,邹元清,张诚航",796万,连奕琦,"2017,07,07",秘果,"剧情,爱情"
"张亚奇,余梦寒,郑礼宇",,陆春伟,"2017,12,01",游戏世界：绝地求生,"剧情,科幻,动作"
"斯蒂芬·马布里,何冰,吴尊,锦荣",890万,杨子,"2017,08,04",我是马布里,"剧情,运动"
"艾米·亚当斯,杰瑞米·雷纳,福里斯特·惠特克,迈克尔·斯图巴",1.09亿,丹尼斯·维伦纽瓦,"2017,01,20",降临,"悬疑,冒险,科幻"
"卢正雨,郭采洁,范伟,蔡国庆",1.01亿,卢正雨,"2017,07,07",绝世高手,"喜剧,动作"
"贾乃亮,马丽,梁超,王迅",1.06亿,郭大雷,"2017,02,03",东北往事之破马张飞,"喜剧,动作"
"郑恺,张雨绮,谢依霖",9176万,"王晶,钟少雄","2017,11,17",降魔传,"喜剧,奇幻"
"刘佩琦,曹云金,李子雄,范志博",6535万,高峰,"2017,08,04",龙之战,"动作,战争,历史"
"皇贞季,山新,郝翔海",1.34亿,"卢恒宇,李姝洁","2017,08,18",十万个冷笑话2,"喜剧,动画,奇幻"
"李玉峰,高强,于月仙,王玉宁",2555万,谈宜之,"2017,06,09",忠爱无言,"剧情,家庭"
"赵煦,王永成,阎三元,陶蠡",,李嘉,"2017,07,11",远游,
"姜超,于咏琳,高姝瑶",1万,"徐艺华,梅园","2017,06,09",黄粱一梦,"剧情,喜剧"
"张洋,赵东泽",,刘国辉,"2017,12,06",特战王妃4自由之路,"剧情,动作,爱情,奇幻"
"郭富城,赵丽颖,张翰,任达华",7954万,钟少雄,"2017,11,03",密战,"剧情,动作,战争"
"王佳宇,王燕阳,关思慧,涂圣成",,韩志,"2017,09,18",爱国岛,"剧情,历史,战争"
"代雨丹,吴子霏,韩潮,范志雄",,张路,"2017,07,28",激斗街篮,"剧情,运动"
"宣言,刘静怡,赵叶索,邱士鉴",,刘政,"2017,06,15",古墓奇谭,"剧情,动作,科幻,悬疑,惊悚"
"泽纳亚达·亚诺维斯基,尼希米·基什,伊丽莎白·麦戈利安,加里·艾维斯",,Ross MacGibbon,"2017,12,17",天鹅湖,"剧情,舞台艺术"
,,"杨锦斌,班杰",2017,追击者,"剧情,惊悚,犯罪"
,,"杨皓宇,崔楠","2017,07,14",早上的五点到六点,"剧情,短片"
"李靓雨,张越宁,魏凡剀,李大宝",15万,韩汶青,"2017,09,22",遗忘空间,"惊悚,悬疑"
,,,"2017,04,28",超能嗨战队,"科幻,动作,魔幻,普通话,功夫,高大上,荒诞,网络大电影,独播"
,,,"2017,12,03",Breaker,"科幻,奇幻,冒险"
"刘一含,刘畅,战卫华,邓杨宁",44万,孟奇,"2017,09,22",娘子军传奇,"剧情,战争"
"余文乐,曾志伟,方皓玟,金燕玲",940万,黄进,"2017,04,07",一念无明,"剧情,家庭"
"奥兰多·布鲁姆,吴磊,任达华,昆凌",1762万,查尔斯·马丁,"2017,09,30",极致追击,"动作,犯罪,冒险"
"大卫·拜德拉,奥莉薇娅·柯尔曼,蒂娜·德赛,马克·莫拉根",2144万,大卫·斯特登,"2017,09,22",托马斯大电影之了不起的比赛,"动画,家庭"
"黄渤,吴君如,黄秋生,宋丹丹",8780万,谢立文,"2009,07,24",麦兜响当当,"喜剧,动画,家庭"
"陈都灵,林柏宏,汪铎,郝劭文",1023万,张天辉,"2017,11,24",推理笔记,"剧情,悬疑"
"保罗·吉亚玛提,约翰·古德曼,贝拉·索恩",257万,"杰瑞卡·克莱兰,凯文·芒罗","2017,05,27",银河守卫队,"动画,冒险,科幻"
"林依晨,姜武,陈晓,惠英红",1504万,朴裕焕,"2017,04,21",神秘家族,"剧情,悬疑,犯罪"
"潘延,范楚绒,胡谦",4329万,"速达,李晔","2017,07,28",大耳朵图图之美食狂想曲,"喜剧,动画,冒险"
"海伦·米伦,亚伦·保尔,艾伦·瑞克曼,伊恩·格雷",EE83ED62F0FDF0FD万,加文·胡德,"2017,01,13",天空之眼,"剧情,悬疑,战争"
"丹尼·伯恩,爱丽丝·波尔,安·玛丽文,阿兰·杜泰",498万,丹尼·伯恩,"2017,12,08",疯狂特警队,"喜剧,动作"
"罗伯特·雷德福,成龙,佐佐木藏之介",4778万,"彼得·韦柏,理查德·戴尔","2017,08,11",地球：神奇的一天,纪录片
"阿特·帕金森,马修·麦康纳,查理兹·塞隆,拉尔夫·费因斯",4369万,特拉维斯·奈特,"2017,01,13",魔弦传说,"动画,奇幻,冒险"
"陈圆,刘俐儿,宋伟,聂晶磊",244万,陆诗雨,"2017,08,18",恐怖毕业照2,"恐怖,惊悚"
"金巴,曲尼次仁,夏诺·扎西敦珠,益西旦增",329万,张杨,"2017,08,18",皮绳上的魂,"科幻,奇幻,西部"
"刘劲,王晖,吴京安",131万,"周琦,马德林","2017,03,28",领袖1935,"剧情,历史"
"连姆·尼森,刘易斯·麦克杜格尔,菲丽希缇·琼斯,西格妮·韦弗",1455万,胡安·安东尼奥·巴亚纳,"2017,05,19",当怪物来敲门,"剧情,奇幻"
"柯震东,林依晨,张晓龙",,"柯孟融,戚家基","2017,12,15",不倒侠,"爱情,科幻"
"苏查拉·玛娜英,李川,陈立谦,卢洋",1149万,李勇昌,"2017,10,12",怨灵2,"恐怖,惊悚,悬疑"
"安吉拉·嘉鲁皮,张震,海伦·波斯瓦拉·乐卡克",4320万,"让-弗朗索瓦·波略特,弗兰克·布里森","2017,04,01",冰雪大作战,"动画,喜剧,家庭"
"范伟,贾静雯,刘俊昊,薛之谦",3740万,王啸坤,"2017,04,01",有完没完,"剧情,喜剧,爱情"
"刘青云,林家栋,江一燕,古天乐",4025万,刘国昌,"2017,05,12",毒。诫,"剧情,犯罪,传记"
"李扬,陈道明,姚晨",4207万,"速达,陈志宏","2017,10,13,18,00",大闹天宫,动画
"丁莹莹,杨进,卢瑶,苏子芜",1073万,杨广福,"2017,12,30",咕噜咕噜美人鱼2,"喜剧,动画,冒险"
"朱一龙,姜瑞佳,徐光宇,杨大鹏",467万,朱时茂,"2017,10,20",胡杨的夏天,"喜剧,爱情,歌舞"
"周渝民,薛凯琪,郑中基,高捷",2430万,谷德昭,"2017,11,10",天生不对,"喜剧,爱情"
,,"方刚亮,史昂",2017,娜娜,剧情
"戴夫·帕特尔,鲁妮·玛拉,大卫·文翰,妮可·基德曼",1717万,加斯·戴维斯,"2017,06,22",雄狮,剧情
"谢霆锋,葛优,郑容和,唐嫣",1.22亿,叶伟民,"2017,02,10",决战食神,"喜剧,爱情,家庭"
"陈柏霖,林允,张云龙,秦沛",547万,王郢,"2017,12,08",假如王子睡着了,"喜剧,爱情"
,,王闯,"2017,11,26",大海寺,剧情
"薛飞,张楚楚",,于敏,"2017,08,11",九天玄鸟,"剧情,爱情"
,,,"2017,09,20",路随心定,"纪录片,音乐"
,,,"2017,01,06",西游记之三圣归来,"剧情,喜剧,爱情,奇幻"
,,马可·帕尼加尼,"2017,07,07",梵蒂冈博物馆3D,纪录片
"白恩,吕星辰,赫子铭",1033万,"廖希,韩平","2017,09,22",捍卫者,"剧情,战争,历史"
"侯勇,大张伟,金晨,曲哲明",4099万,王巍,"2017,10,01",钢铁飞龙之再见奥特曼,"动画,动作,科幻"
"焦晃,富大龙,马伊琍,王子文",,胡玫,"2017,10",进京城,"剧情,古装,历史"
"邓超,阮经天,刘诗诗,余皑磊",2.24亿,徐纪周,"2017,12,22",心理罪之城市之光,"剧情,动作,犯罪"
,,"巴里·库克,伊恩·迈克格",2017,悟空,"科幻,动画,奇幻,冒险"
"亚伦·保尔,肖恩·宾,琳娜·海蒂,阿德里安·布薛特",2873万,野末武志,"2017,03,10",最终幻想15：王者之剑,"动作,科幻"
"窦骁,张钧甯,邬君梅,吴刚",228万,李远,"2017,07,19",六人晚餐,"剧情,爱情"
"王陈怡娴,程愫,岳红,王虎城",2万,高一功,"2017,12,29",党员登记表,"剧情,战争"
"朱茵,杜天皓,黄征,王志飞",2616万,戴玮,"2017,08,31",二次初恋,"喜剧,爱情,奇幻"
"保剑锋,隋源,孙茜,李木子",1139万,刘抒鹃,"2017,10,17",你若安好,"剧情,爱情"
"张正中,吴君如,许飞,黄秋生",4890万,谢立文,"2012,07,10",麦兜当当伴我心,"喜剧,动画"
姚明,,许慧晶,"2017,05",筑梦者姚明CHANGE,"纪录片,传记,运动"
,,"黄婷婷,陆婷,赵粤,万丽娜,许佳琪","2017,11,18",SNH48第三届年度风尚大赏,"纪录片,真人秀"
,,苏照彬,2017,幽灵旗,剧情
,,,2017,诸神下凡之床神,动画
,,"刘志敏,常芮","2017,05,19",天降机器女仆,"动作,爱情,科幻"
"郑清文,孙金良,聂琳峰,张建国",,张艺飞,"2017,12,29",花园农家,剧情
张植绿,,王育臣,2017,死命力,"喜剧,惊悚,短片,奇幻"
,,"曹奥雪,马维希,刘名洋,海岩刚","2017,03,21",我的狐仙室友,"奇幻,爱情"
,,"李俐杰,黄思嘉","2017,07,14",爱上女主播,"剧情,爱情,惊悚"
"逯军,吴超,李骥",,"那临,李维东","2017,07,20",失踪者,"悬疑,犯罪"
,,"聂玫,张德晖","2017,08,24",不如我们从头来过,剧情
,,杨凯迪,"2017,01,06",还魂夜之梦妻,
,,"千本木彩花,山下诚一郎,上坂堇","2017,12,18",人力战舰！？汐风泽风2,动画
,,,"2017,01,03",洗人,"喜剧,惊悚"
,,许子轩,"2017,04,22",姐姐离开的假期,"剧情,爱情,短片,家庭"
韦依,,余斌,"2017,02,14",小食堂,爱情
,,,"2017,02,19",The Projects: Rise of Redemption,动作
,,"张新成,马丹阳,王骊亚","2017,01,12",贴身萌妹腹黑计划,"喜剧,爱情,科幻"
,,海歌,"2017,01,09",追凶报道,
"吴青芸,王玉璋,张宁益,牟凤彬",24万,钟光琳,"2017,06,30",海鹰战警,剧情
,,,"2017,06,17",神秘之旅,动画
,,,2017,斑羚飞渡,动画
,,,2017,一别·百年,
濡雪,,亮子,2017,奔跑吧 逃兵,"剧情,喜剧,战争"
,,黎波,2017,小镇银行大劫案,剧情
,,徐洋,2017,日落黄昏,剧情
"周晓鸥,黄莉,黄中原,王铮亮",,王靖,"2017,09",圈儿,爱情
,,"洪倩,焦妮,张优,王盛",2017,七仙女之勤奇梳化,"奇幻,剧情"
,,李龙俊,2017,来路不明,剧情
"张超,赵祥博",,赵祥博,2017,什么是兄弟,"喜剧,爱情"
,,,"2017,01,05",人鬼罪未了,"悬疑,犯罪"
"潘春春,于婷婷,沈梦瑶,王千一",,吴琼,"2017,09",梦春记,"喜剧,爱情,悬疑,情色,犯罪,冒险"
,,叶伟民,2017,天灵灵,"惊悚,魔幻"
"沈韵菲,宫政,陈潇",,何泰然,"2017,05,04",双面男模之桃花期,"喜剧,爱情,奇幻"
韩乙宁,,官琪鸣,2017,功夫道长,剧情
,,"高雨儿,张炜迅,张惠程,夏子涵,启杰","2017,06,16",伪装大师2：完美骗局,"剧情,喜剧,爱情"
杨雪莹,,李楠,"2017,08,07",一真见血,"剧情,悬疑"
"程慕轩,王弘尧,刘思维,班京辉",2万,朱卫,"2017,10,20",镜头前的女人,"剧情,爱情"
,,"郭美林子,高明","2017,06,25",我的木偶男友,"爱情,魔幻,普通话,网络大电影"
,,,"2017,08,07",诗魂风流,"剧情,戏曲"
,,刘衍辰,"2017,01,20",蜜月,"剧情,爱情,悬疑,惊悚"
"王浩宇,陈斗淇,辛未",,于飞,"2017,02,23",重生君颜,"剧情,爱情,奇幻"
"王靖云,孙渤洋,甘伟雄,陈锦瑶",1万,朱江华,"2017,08,28",桃花梦,剧情
,,宋承宪,"2017,01,11",魔咒,"喜剧,爱情,奇幻"
"宋铁梁,袁倩,刘长青,吴宝珠",9万,李科,"2017,08,07",石榴花开,"剧情,喜剧,爱情"
,,"韦依,亚孟乐,严宇馨","2017,01,13",绝命循环,悬疑
"宋禹,兰岚,祝新运,冯棉",,宋业明,"2017,12,17",爱在归途,剧情
,,"王源,王劲松","2017,09,12",看不见的TA之奇怪民宿,"剧情,短片,奇幻"
"钱泳辰,刘锡明,吕一",,"张超,彭艳飞","2017,02,17",窃道,"悬疑,犯罪"
"老豹,吴冬妮,赵毅劼",,邵馨莹,"2017,05,11",虎色虎香,"剧情,喜剧,爱情"
"陈婧涵,李琳琳,刘凡",5万,"周新德,阳春","2017,08,28",杜丽娘,"爱情,古装"
"颜丹,都钊,林泽峰",,"陈建勇,关塘","2017,06,07",龙胆荡,"悬疑,惊悚"
,,黄俊峰,"2017,01,17",香云纱,"剧情,纪录片,短片"
