actors,boxoffice,directors,time,title,type
"崔胜铉,张柏芝,迈克尔·特瑞威诺",,"阿克塞尔·塞德,林韬",2017,失控·幽灵飞车,"动作,爱情"
"广濑铃,菅田将晖,松隆子",7866万,"新房昭之,武内宣之","2017,12,01",烟花,"爱情,动画,奇幻"
"迈克尔·法斯宾德,凯瑟琳·沃特森,比利·克鲁德普,卡门·艾乔戈",3.11亿,雷德利·斯科特,"2017,06,16",异形：契约,"恐怖,科幻"
"科林·费斯,塔伦·埃格顿,朱丽安·摩尔,马克·斯特朗",4.74亿,马修·沃恩,"2017,10,20",王牌特工2：黄金圈,"动作,冒险,喜剧"
"周星驰,朱茵,莫文蔚,蔡少芬",1.78亿,刘镇伟,"2014,10,24",大话西游之大圣娶亲,"喜剧,爱情,奇幻"
"米拉·乔沃维奇,伊恩·格雷,艾丽·拉特,鲁比·罗丝",11.09亿,保罗·安德森,"2017,02,24",生化危机：终章,"动作,惊悚,科幻"
"殷果儿,刘小奇,闫薇儿,宋嘉豪",266万,陆诗雷,"2017,10,20",恐怖电影院2,"恐怖,惊悚"
"安迪·瑟金斯,伍迪·哈里森,加布里埃尔·查瓦里亚,史蒂夫·茨恩",7.41亿,马特·里夫斯,"2017,09,15",猩球崛起3：终极之战,"剧情,动作,科幻"
"狄龙,张国荣,周润发,朱宝意",3262万,吴宇森,"2017,11,17",英雄本色,"剧情,动作,犯罪"
"约翰尼·德普,哈维尔·巴登,布兰顿·思怀兹",11.80亿,"乔阿吉姆·罗恩尼,艾斯彭·山德伯格","2017,05,26",加勒比海盗5：死无对证,"喜剧,动作,奇幻"
"古天乐,吴樾,林家栋,克里斯·柯林斯",5.23亿,叶伟信,"2017,08,17",杀破狼·贪狼,"剧情,动作,犯罪"
"邓紫棋,韩寒,徐小凤,曹格",327万,尼克·维克汉姆,"2017,01,06",一路逆风,"音乐,纪录片"
"黄轩,染谷将太,张雨绮,秦昊",5.30亿,陈凯歌,"2017,12,22",妖猫传,"爱情,奇幻"
"张涵予,福山雅治,戚薇,河智苑",1.06亿,吴宇森,"2017,11,24",追捕,"剧情,动作,悬疑"
"李东学,迈克·泰森,安妮克·阿斯克渥德,李艾",1015万,檀冰,"2017,06,16",中国推销员,"剧情,动作,战争"
"菲恩·怀特海德,汤姆·格林-卡尼,杰克·劳登,哈里·斯泰尔斯",3.40亿,克里斯托弗·诺兰,"2017,09,01",敦刻尔克,"剧情,战争,历史"
